                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8 
                          version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                burn_min1                                burn_min2 
                                 "15140"                               "gfortran"                                 "10.2.0"                    "x86_64-linux-21.4.1"                                 "CRMATH"                               "20230114"                  5.0000000000000000E+001                  1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58 
                            model_number                                num_zones                                 star_age                                   log_dt                                star_mass                               log_xmstar                             log_abs_mdot                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                       pp                                      cno                                 tri_alfa                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             he_core_mass                              c_core_mass                              o_core_mass                             si_core_mass                             fe_core_mass                   neutron_rich_core_mass                                 log_Teff                                    log_L                                    log_R                                    log_g                        v_div_csound_surf                               log_cntr_P                             log_cntr_Rho                               log_cntr_T                                center_mu                                center_ye                              center_abar                                center_h1                               center_he4                               center_c12                               center_o16                              surface_c12                              surface_o16                            total_mass_h1                           total_mass_he4                              num_retries                                num_iters 
                                       2                                      635                  2.1999999999999999E-005                 -4.9208187539523749E+000                  1.5200000000000000E+000                  3.3480349498305443E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999764204794E-001                  7.5178518717015381E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999812011175E-001                  8.6537117365348079E-004                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.7178683372822725E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  5.7178683372822725E+000                  5.7178683372822725E+000                 -1.8873036887783773E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.0141725514692597E+033                  2.3551624446050536E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6876805066113452E+000                  7.9997571328555461E-001                  5.4728000428458357E-001                  3.5253512066787382E+000                  5.3635564996724493E-004                  1.4136275144388888E+001                 -5.1498375579079081E-001                  6.5205002024690843E+000                  6.1406480974961564E-001                  8.5677910958820735E-001                  1.2768537805791482E+000                  7.1354599866898349E-001                  2.7589399999999997E-001                  1.8381105832102108E-003                  4.5005110362730128E-003                  1.8381105832102115E-003                  4.5005110362730128E-003                  1.0845899198683080E+000                  4.1935887999999982E-001                                        0                                        5 
                                       3                                      789                  2.3799999999999999E-005                 -5.7447274948966935E+000                  1.5200000000000000E+000                  3.3480349498305443E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999764204794E-001                  6.1790855695186058E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999812011175E-001                  8.6378289028199169E-004                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.7176887722876231E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  5.7176887722876231E+000                  5.7176887722876231E+000                 -1.8873043128592276E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.0074912470004416E+033                  2.3507778595038941E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6876790336954444E+000                  7.9999718303758893E-001                  5.4729368499240205E-001                  3.5253238452631015E+000                  1.8946088975901490E-001                  1.4136053931959555E+001                 -5.1511701891804906E-001                  6.5204128570454625E+000                  6.1406484313510368E-001                  8.5677910958820735E-001                  1.2768537807563571E+000                  7.1354599856029022E-001                  2.7589399999999997E-001                  1.8381105832102108E-003                  4.5005110362730128E-003                  1.8381105832102115E-003                  4.5005110362730128E-003                  1.0845899198575379E+000                  4.1935888000000032E-001                                        3                                       17 
                                       4                                      904                  2.3856250000000001E-005                 -7.2498774732165998E+000                  1.5200000000000000E+000                  3.3480349498305443E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999764204794E-001                  1.2668445683739957E-004                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999812011175E-001                  1.2668445683739957E-004                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.7176669676140106E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  5.7176669676140106E+000                  5.7176669676140106E+000                 -1.8873078003778691E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.0040986687791486E+033                  2.3485753050830761E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6876775727101307E+000                  7.9999427297305770E-001                  5.4729515193076483E-001                  3.5253209113863759E+000                  6.5009254790757298E-001                  1.4136054992759730E+001                 -5.1511638739063159E-001                  6.5204132832970378E+000                  6.1406484297664699E-001                  8.5677910958820735E-001                  1.2768537807618949E+000                  7.1354599855689349E-001                  2.7589399999999997E-001                  1.8381105832102110E-003                  4.5005110362730128E-003                  1.8381105832102115E-003                  4.5005110362730128E-003                  1.0845899198572007E+000                  4.1935887999999993E-001                                        8                                       25 
                                       5                                      906                  2.3884374999999999E-005                 -7.5509074688805811E+000                  1.5200000000000000E+000                  3.3480349498305443E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  6.5193079651264541E-001                  6.8342556680377539E-005                  9.9999999764204794E-001                  9.2863943131523929E-001                  6.8001277670468263E-001                  6.8342556680377539E-005                  9.9999999812011175E-001                  9.2212179246949877E-001                  5.7176527199920475E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  5.7176527199920475E+000                  5.7176527199920475E+000                 -1.8873091244447579E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.0041777223379398E+033                  2.3484965604922625E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6876778932098153E+000                  7.9999609264212013E-001                  5.4729542076592663E-001                  3.5253203737160521E+000                  2.3827553909296340E-001                  1.4136055991549290E+001                 -5.1511579018873332E-001                  6.5204136820831877E+000                  6.1406484282666940E-001                  8.5677910958820735E-001                  1.2768537807646634E+000                  7.1354599855519518E-001                  2.7589399999999997E-001                  1.8381105832102110E-003                  4.5005110362730128E-003                  1.8381105832102115E-003                  4.5005110362730119E-003                  1.0845899198570332E+000                  4.1935887999999960E-001                                        9                                        9 
                                       6                                      909                  2.3898437499999997E-005                 -7.8519374645445614E+000                  1.5200000000000000E+000                  3.3480349498305443E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999764204794E-001                  6.8342551207053976E-005                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999812011175E-001                  6.8342551207053976E-005                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.7176425096010988E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  5.7176425096010988E+000                  5.7176425096010988E+000                 -1.8873097206912597E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.0042119704558967E+033                  2.3484777216690264E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6876778022600099E+000                  7.9999611635474444E-001                  5.4729561452184905E-001                  3.5253199862042073E+000                  3.4346194035743205E-001                  1.4136056444965346E+001                 -5.1511551923867316E-001                  6.5204138632747366E+000                  6.1406484275861328E-001                  8.5677910958820724E-001                  1.2768537807660483E+000                  7.1354599855434597E-001                  2.7589399999999997E-001                  1.8381105832102110E-003                  4.5005110362730128E-003                  1.8381105832102115E-003                  4.5005110362730119E-003                  1.0845899198569489E+000                  4.1935887999999943E-001                                       10                                       14 
                                       7                                      909                  2.3912499999999998E-005                 -7.8519374645445614E+000                  1.5200000000000000E+000                  3.3480349498305443E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999764204794E-001                  6.8342550577074740E-005                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999812011175E-001                  6.8342550577074740E-005                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.7176352773028158E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  5.7176352773028158E+000                  5.7176352773028158E+000                 -1.8873086432076832E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.0042414176758029E+033                  2.3484677119761783E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6876780860702900E+000                  7.9999735049733500E-001                  5.4729566397258456E-001                  3.5253198873027363E+000                  8.7658950527711055E-002                  1.4136057896614112E+001                 -5.1511464796635476E-001                  6.5204144396344779E+000                  6.1406484254004079E-001                  8.5677910958820724E-001                  1.2768537807674327E+000                  7.1354599855349676E-001                  2.7589399999999997E-001                  1.8381105832102110E-003                  4.5005110362730128E-003                  1.8381105832102115E-003                  4.5005110362730119E-003                  1.0845899198568649E+000                  4.1935887999999960E-001                                       10                                        5 
                                       8                                      909                  2.3929374999999997E-005                 -7.7727562184969372E+000                  1.5200000000000000E+000                  3.3480349498305443E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999764204794E-001                  6.8342550223877600E-005                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999812011175E-001                  6.8342550223877600E-005                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.7176289188800489E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  5.7176289188800489E+000                  5.7176289188800489E+000                 -1.8873068619076875E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.0042685919222213E+033                  2.3484609713096963E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6876782918599185E+000                  7.9999825878052033E-001                  5.4729570653492088E-001                  3.5253198021780636E+000                  6.2873500486131773E-002                  1.4136059340296820E+001                 -5.1511378183026679E-001                  6.5204150131805045E+000                  6.1406484232273240E-001                  8.5677910958820758E-001                  1.2768537807690941E+000                  7.1354599855247769E-001                  2.7589399999999997E-001                  1.8381105832102110E-003                  4.5005110362730128E-003                  1.8381105832102115E-003                  4.5005110362730119E-003                  1.0845899198567630E+000                  4.1935887999999960E-001                                       10                                        5 
                                       9                                      909                  2.3949624999999997E-005                 -7.6935749724493121E+000                  1.5200000000000000E+000                  3.3480349498305443E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999764204794E-001                  6.8342549969139447E-005                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999812011175E-001                  6.8342549969139447E-005                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.7176230159982815E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  5.7176230159982815E+000                  5.7176230159982815E+000                 -1.8873042781982381E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.0042924111480451E+033                  2.3484563829793934E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6876784951869053E+000                  7.9999914757414037E-001                  5.4729574427775673E-001                  3.5253197266923921E+000                  4.6461730235520395E-002                  1.4136060813698546E+001                 -5.1511289823629236E-001                  6.5204155988990911E+000                  6.1406484210101808E-001                  8.5677910958820724E-001                  1.2768537807710880E+000                  7.1354599855125478E-001                  2.7589399999999997E-001                  1.8381105832102110E-003                  4.5005110362730128E-003                  1.8381105832102115E-003                  4.5005110362730119E-003                  1.0845899198566422E+000                  4.1935887999999960E-001                                       10                                        5 
                                      10                                      909                  2.3973924999999996E-005                 -7.6143937264016870E+000                  1.5200000000000000E+000                  3.3480349498305443E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999764204794E-001                  6.8342549784367518E-005                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999812011175E-001                  6.8342549784367518E-005                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.7176173314721117E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  5.7176173314721117E+000                  5.7176173314721117E+000                 -1.8873007176659350E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.0043125345494874E+033                  2.3484532277150617E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6876787091508256E+000                  8.0000007217123392E-001                  5.4729577864846291E-001                  3.5253196579509796E+000                  3.5258835444218144E-002                  1.4136062345223209E+001                 -5.1511198018568871E-001                  6.5204162081159902E+000                  6.1406484187063026E-001                  8.5677910958820724E-001                  1.2768537807734806E+000                  7.1354599854978729E-001                  2.7589399999999997E-001                  1.8381105832102110E-003                  4.5005110362730128E-003                  1.8381105832102115E-003                  4.5005110362730119E-003                  1.0845899198564974E+000                  4.1935887999999960E-001                                       10                                        5 
